	1	2	3	4	5	6	7	8	9
AL603962.1	0	0	0	0	0	0	0	0	0
RBP7	78	73	176	36	41	64	85	92	152
UBE4B	2039	1587	1703	1940	2157	1883	2036	1637	1872
AL590639.1	0	0	0	0	0	0	0	0	0
PGAM1P11	0	0	0	0	0	0	0	3	0
RNU6-828P	1	0	1	0	1	0	0	0	0
KIF1B	9259	7166	6851	6741	7511	7299	11410	10035	11708
MIR1273D	0	0	0	0	0	0	0	0	0
RNU6-37P	1	0	0	0	0	0	0	1	0
RN7SL731P	0	0	0	0	0	0	0	0	0
AL139424.3	0	0	0	0	0	0	0	0	0
AL139424.2	22	25	6	14	22	9	42	29	24
PGD	7985	7131	6804	7017	8240	7539	6952	6510	7817
AL139424.1	0	0	1	0	0	2	0	1	3
CENPS-CORT	0	0	0	0	0	0	0	0	0
CENPS	5	10	16	8	13	23	11	14	14
CORT	5	2	2	1	0	4	1	2	0
DFFA	1839	1791	2444	1700	2097	2239	1989	1884	2689
AL354956.1	0	0	0	0	0	0	0	0	0
PEX14	633	583	655	524	588	580	614	568	597
RN7SL614P	0	0	1	0	0	0	0	0	0
CASZ1	144	136	177	91	124	156	229	202	248
AL139423.1	0	0	0	0	0	0	0	0	0
HSPE1P24	0	0	0	0	0	0	0	0	0
C1orf127	0	0	0	0	2	0	0	0	1
CFL1P6	0	0	0	0	1	0	0	0	0
TARDBP	1081	1120	1256	1220	1415	1475	1076	1165	1417
AL109811.3	0	0	0	0	0	0	0	0	0
MASP2	0	0	1	0	0	0	0	0	3
AL109811.2	10	6	5	8	5	8	7	4	19
SRM	1713	1655	1828	1390	1902	1929	1647	1638	1789
EXOSC10	1260	1224	1758	1275	1580	2035	1369	1410	2074
AL109811.1	5	2	1	4	6	1	2	0	0
EXOSC10-AS1	5	3	5	4	4	4	6	4	5
MTOR	2759	2095	2481	1899	2422	2324	2908	2488	2976
MTOR-AS1	0	1	0	1	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0	0	0	0
ANGPTL7	28	20	20	15	17	6	30	13	7
RNU6-291P	0	0	0	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0	0	0	0
UBIAD1	502	478	610	461	483	620	536	487	709
UBE2V2P3	0	0	0	0	0	0	0	0	0
AL031291.1	0	0	0	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0	0	0	0
DISP3	148	113	34	86	98	48	801	736	348
AL590989.1	0	0	0	0	0	0	0	0	1
LINC01647	0	0	0	0	0	0	0	0	0
AL031731.1	0	0	0	0	0	0	0	0	0
FBXO2	249	179	180	311	319	190	514	420	311
FBXO44	754	632	640	619	629	478	822	617	651
FBXO6	225	154	224	122	147	110	234	151	136
MAD2L2	1122	1151	1941	1608	1869	2331	1330	1548	2385
DRAXIN	2177	1848	2177	4895	6565	4794	2149	2309	3030
AGTRAP	879	838	999	811	898	875	827	698	866
C1orf167	6	8	0	5	14	4	13	19	7
AL953897.1	0	0	0	0	0	0	0	0	0
MTHFR	824	617	668	678	872	655	917	714	629
CLCN6	1117	890	921	950	1017	870	1462	1235	1219
RF02156	0	0	0	0	0	0	0	0	0
RF02157	0	0	0	0	0	0	0	0	0
NPPA	3	0	4	0	0	0	0	1	0
RF02158	0	0	0	0	0	0	0	0	0
NPPB	45	73	136	13	16	3	18	14	5
AL021155.1	0	0	0	0	0	0	0	0	0
AL021155.2	0	0	1	0	0	0	0	0	0
RNU5E-1	0	0	0	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	0	0	0	0
KIAA2013	1376	1263	1429	1289	1539	1444	1223	1114	1362
PLOD1	7804	7217	7988	5759	6853	6253	5261	4710	4986
MFN2	3383	2899	3504	2952	3774	3510	3645	3274	3917
AL096840.1	0	0	0	0	0	0	0	0	0
MIIP	302	337	443	311	379	425	352	374	470
MIR6729	0	0	0	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0	0	0	0
TNFRSF8	0	0	3	4	1	1	1	2	1
RNU6-777P	0	0	0	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0	0	0	0
AL357835.1	0	0	0	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0	0	0	0
TNFRSF1B	170	158	803	77	145	150	7	23	63
MIR4632	0	0	0	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0	0	0	0
RF00156	1	0	1	2	0	1	1	0	2
VPS13D	3523	2658	3077	1948	2132	1871	3012	2549	2520
SNORA59A	2	1	1	0	0	0	1	0	2
AC243836.1	0	0	0	0	0	0	0	0	0
DHRS3	9217	7960	12131	2633	2596	2680	1515	1377	1794
RNU6ATAC18P	2	2	8	0	3	1	1	1	0
MIR6730	1	0	2	2	0	1	1	0	0
AC254633.1	32	26	35	8	7	12	7	5	2
AADACL4	0	0	0	0	0	0	0	0	0
AC244670.1	0	0	0	0	0	0	0	0	0
AADACL3	0	1	0	0	0	0	0	0	0
C1orf158	11	4	5	1	7	3	3	3	0
PRAMEF12	0	1	2	1	0	3	0	0	0
PRAMEF1	1	0	5	0	1	7	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	1	0	0	0	1
PRAMEF2	0	0	2	2	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	1	0	1	0	0	0
RNU6-1072P	0	0	0	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	1	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	1	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0
AC245056.1	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	1	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0	0	0	0
PRAMEF8	1	0	3	1	0	2	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0
AC243961.1	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	3	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	1	0	1	0	0	0	0
LRRC38	0	0	0	0	1	4	0	0	0
AL354712.1	0	0	0	0	0	0	0	0	0
BRWD1P1	0	0	0	0	0	0	0	0	0
PDPN	2429	2270	3884	4790	5409	6024	5885	5267	9595
RNA5SP41	0	0	0	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0	0	0	0
RF00564	0	1	0	0	2	1	0	0	0
PRDM2	849	733	871	855	1040	1079	970	903	1123
KAZN	3353	2707	2616	1467	1793	1554	4854	3916	3512
RNU6-1265P	0	0	0	0	0	0	0	0	0
AL357873.1	0	0	0	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0	0	0	0
TMEM51-AS1	8	11	18	25	31	22	17	17	15
TMEM51	283	264	419	352	402	407	309	300	347
C1orf195	0	0	0	0	0	0	0	0	0
AL035405.1	0	0	0	0	0	0	0	0	0
AL391094.1	0	0	0	1	0	1	0	0	1
FHAD1	16	9	8	34	34	34	20	23	17
AL031283.2	3	2	0	3	4	1	3	2	1
AL031283.3	0	0	0	0	0	0	0	0	0
AL031283.1	11	6	6	13	11	9	3	1	0
EFHD2	3124	2637	2797	3275	3686	2608	1643	1604	1490
CTRC	1	2	2	0	2	0	0	1	1
CELA2A	1	0	0	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0	0	0	0
CASP9	413	323	404	350	361	343	378	309	363
DNAJC16	966	708	796	848	819	919	781	682	865
SCARNA21B	0	0	0	0	0	0	0	0	0
AL121992.3	0	0	0	0	0	0	0	0	0
AGMAT	8	9	20	8	12	10	6	9	15
AL121992.1	13	8	7	3	3	4	1	0	2
CHCHD2P6	2	4	3	6	5	0	1	3	3
RNU7-179P	0	0	0	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0	0	0	0
DDI2	422	318	400	435	516	524	370	375	490
RSC1A1	0	0	0	0	0	0	0	0	0
AL121992.2	0	0	0	0	0	1	0	0	0
PLEKHM2	2264	2012	2274	1936	2500	2222	2941	2475	2494
AL450998.2	0	1	0	0	0	0	0	0	0
SLC25A34	10	10	20	20	16	15	11	17	20
SLC25A34-AS1	0	0	0	0	0	0	0	0	0
TMEM82	0	0	0	0	0	0	0	0	0
FBLIM1	1203	1327	1562	753	891	776	906	840	899
RPL12P14	0	0	0	0	0	0	1	1	0
UQCRHL	56	55	75	50	53	62	48	65	75
AL450998.1	1	0	2	1	0	0	1	0	3
FLJ37453	87	82	85	100	122	94	134	89	80
SPEN	2805	2201	2605	2663	3170	3107	3170	2973	3913
AL034555.1	0	0	0	0	0	0	0	0	0
ZBTB17	607	620	741	578	687	719	725	690	784
AL355994.4	0	0	0	0	0	0	0	0	0
AL355994.1	0	0	0	0	0	0	0	0	0
AL355994.5	0	0	0	0	0	0	0	0	0
TBC1D3P6	0	0	0	0	0	0	0	0	0
SRARP	0	0	0	0	0	0	0	0	0
AL355994.3	0	0	0	0	0	0	0	0	0
HSPB7	8	4	3	34	37	24	9	10	5
CLCNKA	0	1	2	3	3	3	4	2	0
AL355994.2	2	4	4	3	5	2	2	0	1
CLCNKB	15	13	16	20	22	20	7	9	23
FAM131C	32	20	19	42	57	28	37	12	18
EPHA2	6682	5705	6389	10415	11586	8520	4312	3980	4161
AL451042.2	5	4	3	8	8	3	2	0	2
AL451042.1	1	1	2	2	2	2	1	0	0
ARHGEF19-AS1	0	0	0	0	0	0	0	0	0
ARHGEF19	77	89	118	100	164	123	103	97	114
ANO7L1	9	10	19	4	7	4	10	4	11
CPLANE2	118	90	101	81	122	93	104	89	93
MT1XP1	1	3	0	1	2	0	3	1	1
