	Length
AC002563.1	451
AC002984.1	448
AC002985.1	685
AC002996.1	784
AC003001.1	1135
AC003001.2	831
AC003002.1	456
AC003002.2	521
AC003002.3	1210
AC003005.1	603
AC003005.2	664
AC003006.1	833
AC003009.1	686
AC003035.1	544
AC003035.2	696
AC003043.1	337
AC003043.2	4061
AC003045.1	713
AC003070.1	457
AC003070.2	386
AC003070.7	132
AC003071.1	789
AC003071.2	315
AC003072.1	612
AC003080.1	767
AC003084.1	435
AC003087.1	499
AC003092.1	1064
AC003092.2	446
AC003098.1	494
AC003101.1	459
AC003101.2	442
AC003101.3	768
AC003102.1	2012
AC003659.1	465
AC003666.1	611
AC003669.1	611
AC003681.1	49287
AC003682.1	462
AC003684.1	1715
AC003685.1	466
AC003685.2	395
AC003686.1	1034
AC003687.1	427
AC003688.1	489
AC003688.2	415
AC003950.1	730
AC003956.1	356
AC003957.1	2673
AC003958.1	421
AC003958.2	4067
AC003965.1	667
AC003965.2	265
AC003973.1	546
AC003973.2	1394
AC003973.3	2822
AC003975.1	837
AC003982.1	365
AC003984.1	4276
AC003985.1	362
AC003985.2	1669
AC003986.1	1526
AC003986.2	1711
AC003986.3	692
AC003988.1	578
AC003989.1	565
AC003989.2	169
AC003991.1	4838
AC003991.2	576
AC003992.1	557
AC004000.1	433
AC004004.1	250
AC004006.1	377
AC004009.1	567
AC004009.2	728
AC004009.3	645
AC004012.1	534
AC004014.1	538
AC004014.2	5122
AC004022.1	1066
AC004022.2	193
AC004023.1	1744
AC004024.1	247
AC004034.1	510
AC004039.1	1789
AC004052.1	995
AC004053.1	575
AC004054.1	270
AC004057.1	498
AC004062.1	645
AC004063.1	547
AC004066.1	802
AC004066.2	572
AC004067.1	700
AC004069.1	549
AC004069.2	1114
AC004074.1	1063
AC004076.1	1028
AC004076.2	3323
AC004080.1	757
AC004080.2	556
AC004080.3	765
AC004080.4	633
AC004080.5	368
AC004080.6	919
AC004112.1	707
AC004129.1	796
AC004129.2	287
AC004129.3	1792
AC004130.1	896
AC004134.1	225
AC004147.1	299
AC004147.2	3753
AC004147.3	375
AC004147.4	1844
AC004147.5	536
AC004148.1	398
AC004148.2	1938
AC004156.1	3319
AC004158.1	5253
AC004160.1	5660
AC004160.2	563
AC004217.1	751
AC004217.2	878
AC004221.1	844
AC004223.1	271
AC004223.2	544
AC004223.3	2002
AC004223.4	332
AC004224.1	568
AC004224.2	529
AC004231.1	815
AC004231.3	258
AC004232.1	208
AC004232.2	821
AC004232.3	525
AC004233.1	608
AC004233.2	2062
AC004233.3	1269
AC004233.4	417
AC004241.1	4411
AC004241.2	444
AC004241.3	517
AC004241.4	1120
AC004241.5	2448
AC004253.1	488
AC004253.2	397
AC004257.1	277
AC004263.1	678
AC004264.1	794
AC004264.2	1737
AC004381.1	351
AC004381.2	1329
AC004381.3	1288
AC004383.1	289
AC004386.1	761
AC004386.2	148
AC004408.1	573
AC004408.2	2777
AC004415.1	449
AC004448.1	543
AC004448.2	4193
AC004448.3	567
AC004449.1	433
AC004453.1	408
AC004453.2	2153
AC004461.1	403
AC004461.2	803
AC004466.1	1080
AC004466.2	516
AC004466.3	546
AC004467.1	330
AC004470.1	382
AC004471.1	582
AC004471.2	1514
AC004477.1	2933
AC004477.2	192
AC004477.3	590
AC004485.1	527
AC004486.1	233
AC004490.1	2738
AC004491.1	1882
AC004492.1	742
AC004494.1	2955
AC004494.2	830
AC004522.1	654
AC004522.2	680
AC004528.1	641
AC004528.2	440
AC004540.1	1702
AC004540.2	882
AC004542.1	264
AC004542.2	546
AC004543.1	369
AC004551.1	575
AC004552.1	348
AC004554.1	1468
AC004554.2	1893
AC004556.1	740
AC004584.1	549
AC004584.2	410
AC004584.3	2356
AC004585.1	1198
AC004585.2	1473
AC004590.1	510
AC004593.1	798
AC004593.2	2528
AC004593.3	5049
AC004594.1	3458
AC004596.1	528
AC004597.1	561
AC004623.1	2127
AC004637.1	482
AC004656.1	4951
AC004672.1	2088
AC004672.2	574
AC004674.1	739
AC004678.1	929
AC004678.2	1002
AC004687.1	1625
AC004687.2	5828
AC004690.1	328
AC004690.2	2064
AC004691.1	547
AC004691.2	1531
AC004692.1	424
AC004692.2	1205
AC004696.1	607
AC004696.2	331
AC004702.1	195
AC004704.1	583
AC004706.1	879
AC004706.2	294
AC004706.3	3537
AC004707.1	715
AC004754.1	2242
AC004765.1	1161
AC004771.1	583
AC004771.2	439
AC004771.3	551
AC004771.4	474
AC004771.5	542
AC004775.1	753
AC004777.1	287
AC004784.1	2168
AC004790.1	536
AC004790.2	572
AC004792.1	137
AC004801.1	360
AC004801.2	779
AC004801.3	962
AC004801.4	3112
AC004801.5	1044
AC004801.6	978
AC004801.7	2973
AC004803.1	3669
AC004805.1	1616
AC004805.2	482
AC004805.3	310
AC004808.1	721
AC004808.2	773
AC004812.1	146
AC004812.2	2094
AC004816.1	716
AC004816.2	284
AC004817.1	721
AC004817.2	651
AC004817.3	2129
AC004817.4	3625
AC004824.1	311
AC004825.1	586
AC004825.2	455
AC004828.1	654
AC004830.1	911
AC004832.1	2422
AC004832.2	482
AC004832.3	1480
AC004832.4	331
AC004832.5	401
AC004832.6	704
AC004834.1	4408
AC004835.1	2907
AC004835.2	682
AC004836.1	634
AC004837.1	564
AC004837.2	731
AC004837.3	565
AC004839.1	501
AC004840.1	748
AC004840.2	285
AC004846.1	3050
AC004846.2	777
AC004847.1	1911
AC004852.1	154
AC004852.2	3362
AC004852.3	326
AC004853.1	698
AC004854.1	349
AC004854.2	1441
AC004858.1	242
AC004862.1	3819
AC004865.1	1003
AC004865.2	1030
AC004866.1	78
AC004866.2	481
AC004869.1	540
AC004869.2	229
AC004870.1	882
AC004870.2	1537
AC004870.3	530
AC004870.4	661
AC004872.1	469
AC004875.1	655
AC004877.1	4093
AC004877.2	599
AC004882.1	773
AC004882.2	244
AC004884.1	319
AC004884.2	546
AC004888.1	547
AC004889.1	4969
AC004890.1	181
AC004890.2	4288
AC004890.3	1095
AC004893.1	1393
AC004893.2	47
AC004895.1	820
AC004898.1	766
AC004899.1	1714
AC004899.2	3860
AC004900.1	832
AC004906.1	969
AC004908.1	541
AC004908.2	574
AC004908.3	625
AC004910.1	787
AC004911.1	871
AC004917.1	2082
AC004918.1	770
AC004918.3	925
AC004920.1	482
AC004921.1	733
AC004922.1	2705
AC004923.1	776
AC004923.2	369
AC004923.3	355
AC004923.4	739
AC004925.1	2706
AC004930.1	254
AC004936.1	361
AC004938.1	308
AC004941.1	3120
AC004941.2	228
AC004943.1	1697
AC004943.2	4842
AC004943.3	600
AC004944.1	3059
AC004945.1	983
AC004946.1	751
AC004947.1	2781
AC004947.2	2671
AC004948.1	672
AC004951.1	1866
AC004951.2	793
AC004951.3	1148
AC004951.4	2076
AC004965.1	213
AC004967.1	447
AC004967.2	1910
AC004969.1	578
AC004972.1	2209
AC004973.1	635
AC004974.1	3093
AC004975.1	208
AC004975.2	565
AC004980.1	3110
AC004980.2	497
AC004980.3	365
AC004980.4	203
AC004982.1	1655
AC004982.2	1730
AC004986.1	607
AC004987.1	508
AC004987.2	1148
AC004987.3	771
AC004987.4	338
AC004988.1	1771
AC004990.1	2298
AC004994.1	313
AC004997.1	2057
AC005000.1	288
AC005000.2	310
AC005002.1	540
AC005002.2	269
AC005005.1	682
AC005005.2	380
AC005005.3	1410
AC005005.4	16698
AC005006.1	249
AC005008.1	612
AC005008.2	942
AC005009.1	269
AC005009.2	924
AC005011.1	210
AC005013.1	588
AC005014.1	2976
AC005014.2	599
AC005014.3	190
AC005019.1	431
AC005019.2	359
AC005020.1	526
AC005020.2	830
AC005021.1	355
AC005033.1	813
AC005034.1	489
AC005034.2	414
AC005034.3	1747
AC005034.4	899
AC005034.5	466
AC005037.1	973
AC005040.1	482
AC005041.1	7033
AC005041.2	982
AC005041.3	649
AC005042.1	800
AC005042.2	510
AC005042.3	174
AC005046.1	625
AC005050.1	1770
AC005052.1	2492
AC005062.1	2564
AC005064.1	2725
AC005066.1	1007
AC005070.1	365
AC005070.2	260
AC005070.3	2646
AC005072.1	1779
AC005076.1	888
AC005077.1	375
AC005077.2	690
AC005077.3	370
AC005077.4	3495
AC005082.1	2259
AC005082.2	948
AC005083.1	901
AC005084.1	304
AC005086.1	801
AC005086.2	228
AC005086.3	219
AC005086.4	213
AC005088.1	274
AC005089.1	2241
AC005090.1	575
AC005091.1	1190
AC005094.1	368
AC005096.1	622
AC005099.1	610
AC005100.1	1379
AC005102.1	479
AC005104.1	442
AC005104.2	678
AC005105.1	792
AC005144.1	703
AC005150.1	628
AC005154.1	379
AC005154.2	1393
AC005154.3	427
AC005154.4	368
AC005154.5	687
AC005156.1	573
AC005160.1	381
AC005162.1	389
AC005162.2	578
AC005162.3	4916
AC005165.1	2968
AC005165.2	380
AC005176.1	1835
AC005176.2	147
AC005178.1	440
AC005180.1	587
AC005180.2	562
AC005181.1	1256
AC005183.1	1979
AC005185.1	787
AC005186.1	1815
AC005189.1	310
AC005191.1	358
AC005197.1	683
AC005208.1	1100
AC005209.1	289
AC005220.1	884
AC005224.1	1537
AC005224.2	1885
AC005224.3	2140
AC005224.4	1652
AC005225.1	937
AC005225.2	919
AC005225.3	519
AC005225.4	2225
AC005229.1	409
AC005229.2	399
AC005229.3	323
AC005229.4	2198
AC005230.1	285
AC005232.1	1142
AC005234.1	434
AC005237.1	559
AC005237.2	219
AC005244.1	339
AC005244.2	718
AC005252.1	1063
AC005252.2	1141
AC005252.3	2258
AC005253.1	2001
AC005253.2	432
AC005255.1	216
AC005256.1	458
AC005258.1	1268
AC005261.1	4258
AC005261.2	1045
AC005261.3	1385
AC005261.4	355
AC005261.5	1387
AC005262.1	362
AC005262.2	452
AC005264.1	2319
AC005274.1	802
AC005277.1	335
AC005277.2	390
AC005280.1	680
AC005280.2	1412
AC005280.3	818
AC005281.1	911
AC005288.1	860
AC005291.1	641
AC005291.2	523
AC005293.1	1546
AC005294.1	281
AC005296.1	209
AC005297.1	862
AC005297.2	606
AC005297.3	756
AC005300.1	373
AC005301.1	875
AC005303.1	1105
AC005304.1	405
AC005304.2	1982
AC005304.3	511
AC005306.1	935
AC005307.1	1570
AC005323.1	1474
AC005323.2	769
AC005324.1	1582
AC005324.2	415
AC005324.3	5514
AC005324.4	4387
AC005324.5	571
AC005324.6	613
AC005326.1	123
AC005329.1	3571
AC005329.2	446
AC005329.3	1366
AC005330.1	1238
AC005332.1	1310
AC005332.2	2919
AC005332.3	446
AC005332.4	2005
AC005332.5	2735
AC005332.6	2921
AC005332.7	619
AC005336.1	1243
AC005336.2	939
AC005336.3	2679
AC005339.1	392
AC005341.1	708
AC005342.1	629
AC005342.2	315
AC005343.1	3470
AC005344.1	459
AC005345.1	217
AC005351.1	786
AC005355.1	714
AC005355.2	484
AC005357.1	301
AC005357.2	1569
AC005358.1	1143
AC005358.2	3679
AC005363.1	351
AC005363.2	242
AC005377.1	456
AC005379.1	328
AC005381.1	1270
AC005383.1	534
AC005387.1	352
AC005387.2	440
AC005391.1	341
AC005392.1	500
AC005392.2	301
AC005392.3	459
AC005393.1	584
AC005394.1	1269
AC005394.2	3113
AC005410.1	1000
AC005410.2	463
AC005412.1	715
AC005414.1	3191
AC005476.1	397
AC005476.2	973
AC005479.1	589
AC005479.2	431
AC005480.1	3953
AC005480.2	75
AC005481.1	3456
AC005482.1	575
AC005486.1	216
AC005487.1	665
AC005495.1	511
AC005498.1	465
AC005498.2	1105
AC005498.3	2045
AC005514.1	208
AC005515.1	289
AC005518.1	1116
AC005518.2	282
AC005519.1	1367
AC005520.1	3695
AC005520.2	688
AC005520.3	370
AC005520.4	90
AC005520.5	2137
AC005521.1	872
AC005522.1	453
AC005523.1	418
AC005523.2	3572
AC005524.1	2102
AC005529.1	289
AC005531.1	1360
AC005532.1	1237
AC005532.2	373
AC005534.1	742
AC005534.2	433
AC005537.1	4520
AC005538.1	594
AC005538.2	1864
AC005539.1	1479
AC005540.1	919
AC005544.1	460
AC005544.2	229
AC005546.1	391
AC005548.1	1906
AC005549.1	1629
AC005550.1	312
AC005550.2	3743
AC005551.1	493
AC005552.1	662
AC005559.1	871
AC005562.1	6036
AC005562.2	111
AC005578.1	1020
AC005580.1	1155
AC005586.1	577
AC005586.2	1693
AC005587.1	592
AC005588.1	162
AC005592.1	1640
AC005593.1	515
AC005597.1	420
AC005606.1	504
AC005606.2	734
AC005609.1	617
AC005609.2	592
AC005609.3	577
AC005609.4	447
AC005609.5	1523
AC005614.1	3653
AC005614.2	461
AC005616.1	579
AC005618.1	3148
AC005618.2	458
AC005618.3	554
AC005622.1	1703
AC005625.1	472
AC005632.1	576
AC005632.2	828
AC005632.3	308
AC005632.4	431
AC005670.1	395
AC005670.2	1876
AC005674.1	459
AC005674.2	3510
AC005682.1	1467
AC005691.1	401
AC005692.1	1439
AC005692.2	596
AC005692.3	3445
AC005695.1	5672
AC005695.2	259
AC005695.3	232
AC005696.1	443
AC005696.2	626
AC005696.3	303
AC005696.4	3147
AC005697.1	582
AC005697.2	2266
AC005699.1	2016
AC005702.1	481
AC005702.2	1447
AC005702.3	416
AC005702.4	421
AC005703.1	1773
AC005703.2	343
AC005703.3	373
AC005703.4	538
AC005703.5	555
AC005703.6	1329
AC005722.1	964
AC005722.2	3370
AC005722.3	446
AC005725.1	2607
AC005726.1	3218
AC005726.2	1515
AC005726.3	458
AC005726.4	298
AC005726.5	1083
AC005730.1	344
AC005730.2	1184
AC005730.3	366
AC005736.1	2310
AC005736.2	244
AC005740.1	522
AC005740.2	419
AC005740.3	344
AC005740.4	957
AC005741.1	432
AC005746.1	1329
AC005746.2	470
AC005746.3	393
AC005753.1	618
AC005757.1	472
AC005758.1	625
AC005759.1	1212
AC005771.1	349
AC005772.1	976
AC005774.1	567
AC005775.1	850
AC005776.1	290
AC005776.2	1769
AC005777.1	187
AC005779.1	540
AC005779.2	550
AC005785.1	1911
AC005785.2	631
AC005786.1	154
AC005786.2	369
AC005786.3	565
AC005786.4	682
AC005789.1	297
AC005790.1	450
AC005796.1	433
AC005798.1	387
AC005808.1	381
AC005821.1	3892
AC005822.1	1034
AC005823.1	585
AC005823.2	650
AC005828.1	524
AC005828.2	562
AC005828.3	591
AC005828.4	552
AC005828.5	355
AC005828.6	232
AC005828.7	556
AC005829.1	674
AC005829.2	1056
AC005831.1	1697
AC005832.1	572
AC005832.2	1430
AC005832.3	631
AC005832.4	818
AC005833.1	3961
AC005833.2	449
AC005837.1	1717
AC005837.2	479
AC005837.3	286
AC005838.1	233
AC005838.2	317
AC005839.1	3213
AC005840.1	377
AC005840.2	1803
AC005840.3	2494
AC005840.4	599
AC005841.1	287
AC005842.1	1780
AC005845.1	653
AC005856.1	286
AC005858.1	426
AC005858.2	589
AC005858.3	700
AC005863.1	2998
AC005865.1	3004
AC005865.2	5981
AC005868.1	331
AC005871.1	475
AC005871.2	526
AC005884.1	429
AC005884.2	247
AC005899.1	563
AC005899.2	90
AC005899.3	271
AC005899.4	561
AC005899.5	552
AC005899.6	297
AC005899.7	588
AC005899.8	3449
AC005901.1	552
AC005906.1	554
AC005906.2	9655
AC005906.3	2908
AC005908.1	347
AC005908.2	530
AC005909.1	755
AC005911.1	456
AC005912.1	255
AC005912.2	2400
AC005915.1	2018
AC005920.1	2054
AC005920.2	332
AC005920.3	1229
AC005920.4	492
AC005921.1	286
AC005921.2	670
AC005921.3	2151
AC005921.4	1893
AC005943.1	1002
AC005943.2	148
AC005944.1	564
AC005951.1	495
AC005954.1	337
AC005954.2	556
AC005962.1	652
AC005972.1	348
AC005972.2	481
AC005972.3	2992
AC005993.1	397
AC005996.1	564
AC005999.1	588
AC005999.2	1564
AC006001.1	474
AC006001.2	938
AC006001.3	10101
AC006001.4	395
AC006003.1	613
AC006004.1	2145
AC006006.1	144
AC006007.1	672
AC006011.1	349
AC006011.2	1158
AC006012.1	691
AC006013.1	758
AC006015.1	570
AC006017.1	673
AC006019.1	2470
AC006019.2	3044
AC006019.3	698
AC006020.1	1854
AC006022.1	388
AC006023.1	259
AC006023.2	167
AC006026.1	1803
AC006026.2	180
AC006026.3	143
AC006027.1	741
AC006028.1	402
AC006030.1	5059
AC006033.1	426
AC006033.2	1968
AC006037.1	287
AC006037.2	2232
AC006041.1	328
AC006042.1	524
AC006042.2	568
AC006042.3	1469
AC006042.4	692
AC006043.1	1077
AC006055.1	411
AC006058.1	5067
AC006058.2	548
AC006058.3	1069
AC006058.4	1670
AC006059.1	785
AC006059.2	5715
AC006059.3	799
AC006063.1	560
AC006063.2	1696
AC006064.1	560
AC006064.2	2196
AC006064.3	477
AC006064.4	422
AC006064.5	248
AC006064.6	8514
AC006065.1	802
AC006065.2	211
AC006065.3	419
AC006065.4	1192
AC006065.5	349
AC006065.6	545
AC006076.1	345
AC006077.1	343
AC006077.2	457
AC006111.1	329
AC006111.2	1068
AC006111.3	383
AC006115.1	517
AC006115.2	202
AC006115.3	560
AC006116.1	2171
AC006116.10	581
AC006116.2	988
AC006116.3	361
AC006116.4	452
AC006116.5	559
AC006116.6	1103
AC006116.7	756
AC006116.8	2537
AC006116.9	1040
AC006122.1	992
AC006128.1	1661
AC006130.1	555
AC006130.2	326
AC006133.1	264
AC006141.1	2170
AC006144.1	1600
AC006145.1	2651
AC006146.1	693
AC006148.1	4713
AC006148.2	650
AC006150.1	263
AC006153.1	371
AC006157.1	366
AC006158.1	249
AC006159.1	386
AC006159.2	692
AC006160.1	750
AC006160.2	154
AC006195.1	923
AC006197.1	465
AC006199.1	219
AC006205.1	389
AC006205.2	373
AC006206.1	3387
AC006206.2	1604
AC006207.1	713
AC006210.1	111
AC006210.2	1545
AC006213.1	2909
AC006213.2	2193
AC006213.3	517
AC006213.4	634
AC006213.5	288
AC006213.6	4179
AC006236.1	797
AC006237.1	480
AC006238.1	534
AC006238.2	1030
AC006249.1	471
AC006252.1	1101
AC006254.1	6315
AC006254.2	279
AC006254.3	884
AC006262.1	5911
AC006262.2	849
AC006262.3	258
AC006262.4	286
AC006270.1	478
AC006270.2	652
AC006270.3	1036
AC006272.1	552
AC006272.2	163
AC006273.1	861
AC006277.1	1610
AC006288.1	1463
AC006296.1	591
AC006296.2	764
AC006299.1	2421
AC006305.1	3193
AC006305.2	552
AC006305.3	454
AC006326.1	787
AC006328.1	379
AC006328.2	397
AC006329.1	705
AC006329.2	394
AC006330.1	1987
AC006333.1	1727
AC006333.2	2099
AC006335.1	547
AC006335.2	330
AC006335.3	292
AC006338.1	749
AC006338.2	791
AC006349.1	235
AC006355.1	1012
AC006355.2	317
AC006357.1	531
AC006362.1	174
AC006363.1	463
AC006366.1	759
AC006369.1	548
AC006369.2	384
AC006372.1	546
AC006372.2	1582
AC006372.3	4049
AC006372.4	1543
AC006378.1	636
AC006378.2	2476
AC006380.1	186
AC006386.1	415
AC006386.2	75
AC006387.1	2190
AC006390.1	283
AC006427.1	712
AC006435.1	1065
AC006435.2	1234
AC006435.3	203
AC006435.4	234
AC006435.5	112
AC006441.1	437
AC006441.2	302
AC006441.3	456
AC006441.4	983
AC006441.5	209
AC006445.1	405
AC006445.2	472
AC006449.1	571
AC006449.2	486
AC006449.3	563
AC006449.5	2098
AC006449.6	2296
AC006449.7	366
AC006450.1	460
AC006450.2	581
AC006450.3	2146
AC006452.1	4071
AC006453.1	1257
AC006453.2	377
AC006453.3	1252
AC006453.4	619
AC006455.1	517
AC006455.2	906
AC006455.3	333
AC006455.4	528
AC006455.5	2914
AC006455.6	893
AC006455.7	392
AC006455.8	351
AC006457.1	392
AC006458.1	653
AC006460.1	1125
AC006460.2	7811
AC006461.1	326
AC006463.1	232
AC006466.1	289
AC006480.1	378
AC006480.2	1337
AC006482.1	273
AC006483.1	313
AC006483.2	515
AC006484.1	1884
AC006486.1	634
AC006486.2	2199
AC006487.1	1221
AC006487.2	893
AC006499.1	850
AC006499.2	337
AC006499.3	748
AC006499.4	694
AC006499.5	514
AC006499.6	607
AC006499.7	1117
AC006499.8	23
AC006504.1	3666
AC006504.2	458
AC006504.3	523
AC006504.4	1568
AC006504.5	5141
AC006504.6	199
AC006504.7	924
AC006504.8	635
AC006509.1	634
AC006509.2	395
AC006511.1	315
AC006511.2	660
AC006511.3	1783
AC006511.4	561
AC006511.5	2208
AC006512.1	291
AC006512.2	486
AC006517.1	328
AC006518.1	943
AC006518.2	1075
AC006518.7	603
AC006529.1	637
AC006530.1	571
AC006538.1	1585
AC006538.2	543
AC006538.3	578
AC006539.1	501
AC006539.2	572
AC006539.3	129
AC006547.1	2267
AC006547.2	526
AC006547.3	583
AC006548.1	102
AC006548.2	529
AC006548.3	852
AC006557.1	1085
AC006557.2	1240
AC006557.3	517
AC006557.4	830
AC006557.5	811
AC006557.6	864
AC006566.1	513
AC006581.1	496
AC006581.2	455
AC006600.1	153
AC006600.2	2506
AC006840.1	542
AC006924.1	559
AC006927.1	498
AC006927.2	389
AC006927.3	384
AC006927.4	543
AC006927.5	714
AC006942.1	520
AC006946.1	328
AC006946.2	2855
AC006946.3	756
AC006947.1	484
AC006960.1	153
AC006960.2	531
AC006960.3	705
AC006963.1	1052
AC006965.1	959
AC006967.1	589
AC006967.2	432
AC006967.3	1093
AC006970.1	389
AC006970.2	779
AC006970.3	759
AC006971.1	4486
AC006972.1	1155
AC006974.1	1501
AC006974.2	1227
AC006978.1	1234
AC006978.2	666
AC006986.1	241
AC006987.1	527
AC006987.2	527
AC006987.3	406
AC006987.4	279
AC006989.1	131
AC006994.1	839
AC006994.2	4461
AC007000.1	794
AC007000.2	487
AC007000.3	617
AC007001.1	670
AC007003.1	971
AC007009.1	429
AC007012.1	175
AC007012.2	1676
AC007014.1	610
AC007014.2	479
AC007016.1	244
AC007029.1	313
AC007032.1	847
AC007036.1	674
AC007036.2	437
AC007036.3	614
AC007038.1	2199
AC007038.2	740
AC007040.1	477
AC007040.2	4451
AC007041.1	1155
AC007064.1	351
AC007064.2	500
AC007064.3	359
AC007064.4	555
AC007066.1	381
AC007066.2	2674
AC007068.1	844
AC007068.2	395
AC007091.1	566
AC007092.1	1650
AC007098.1	2675
AC007098.2	367
AC007099.1	1185
AC007099.2	336
AC007100.1	1201
AC007106.1	600
AC007114.1	855
